Label,Parent,Geometry/Area,Geometry/Perimeter,Lobeyness/Circularity,CellCenters(x),CellCenters(y)
191,0,9689,652.733,3.49930920775636,2107.94199607803,755.840127980184
192,0,3945,381.265,2.9322230707829,1380.09150823828,1219.67072243346
193,0,5324,333.891,1.66633192456451,369.322314049587,27.6410593538693
194,0,1829,196.433,1.67882461920176,674.840349917988,699.138873701476
195,0,2360,284.063,2.7208679919893,473.438983050847,13.6055084745763
196,0,9266,656.138,3.6973300549707,2583.56680336715,805.390135981006
197,0,10473,741.932,4.18260871673644,3186.5835959133,513.156020242528
198,0,10534,634.562,3.04190008223401,1426.90848680463,687.333586481868
199,0,26,43.608,5.82035033258051,341.769230769231,1277.88461538462
200,0,4860,361.061,2.13459274001009,1524.99814814815,770.08683127572
201,0,5710,402.31,2.25567062138607,1453.86129597198,630.37530647986
202,0,10590,696.654,3.64693855302889,127.57790368272,429.667516525024
203,0,3513,354.577,2.8479549069929,1866.26985482494,302.813834329633
204,0,2330,240.416,1.9740627304394,2750.39871244635,474.480686695279
206,0,618,96.373,1.1959483325303,1575.11326860841,384.559870550162
210,0,3705,375.732,3.03220313294109,619.204588394062,432.536032388664
211,0,822,123.955,1.48746384312946,598.806569343066,688.352798053528
212,0,4705,437.193,3.23278563547176,1774.11647183847,288.043145589798
213,0,1992,187.115,1.39867885640236,2890.0702811245,398.900602409639
215,0,569,103.271,1.49153907171629,1405.02811950791,542.179261862917
217,0,4988,405.269,2.62029664472827,992.320970328789,656.689454691259
218,0,676,106.206,1.32782715174143,2991.45414201183,400.096153846154
219,0,40279,2404.516,11.4226481283843,602.754686064699,803.969736090767
220,0,915,135.539,1.59770868555802,416.558469945355,1265.33879781421
221,0,1675,224.191,2.38787546294952,327.331343283582,403.269253731343
222,0,3430,328.516,2.50385438559385,1167.14023323615,988.938483965015
224,0,6065,426.545,2.38720129693463,1953.51937345425,1171.3088211047
225,0,2652,216.283,1.40365826134584,3236.44079939668,1018.50791855204
226,0,2210,229.134,1.89050110534744,1629.28868778281,979.930769230769
227,0,685,101.848,1.2050486339916,620.201459854015,482.96204379562
228,0,1444,304.449,5.10801361939087,1532.07340720222,40.5734072022161
230,0,9289,651.957,3.64132194458206,2049.62105716439,1093.12143395414
231,0,7706,447.046,2.06379025752012,3186.42810796782,570.813521930963
233,0,1776,192.223,1.65560937298498,467.556306306306,1265.85641891892
234,0,5561,475.991,3.24216208949186,1199.23035425283,846.915303003057
236,0,2770,239.985,1.65454491738498,2895.77797833935,655.75559566787
237,0,5678,469.602,3.09068413987934,1925.8909827404,154.705530116238
238,0,1635,171.763,1.43592452348753,3034.12782874618,635.228134556575
239,0,1449,180.143,1.78220038205908,3355.91994478951,722.826086956522
240,0,678,97.779,1.12215183718744,2068.59292035398,1010.76843657817
241,0,20523,1000.436,3.88085943714344,1784.00930663158,1126.93426886907
242,0,1061,124.838,1.16887577166728,3379.54571159284,486.512723845429
243,0,2088,216.382,1.78443980717198,488.237068965517,1007.04597701149
244,0,547,99.599,1.44315429319652,1458.08775137112,231.259597806216
245,0,5278,363.13,1.98813105622618,1000.88347859038,836.067449791588
246,0,79,33.337,1.11947931860162,3111.16455696203,383.607594936709
247,0,6307,431.846,2.35301723117112,1664.46884414143,228.290312351356
248,0,1673,160.467,1.2248013651496,629.661087866109,143.632994620442
250,0,1103,224.177,3.62574059887197,550.47416137806,1272.6690843155
251,0,894,111.888,1.11434492358616,2613.20357941834,845.797539149888
252,0,1370,152.247,1.34637815381239,2326.7,1048.54452554745
253,0,3075,264.482,1.81024458303136,3391.06699186992,378.973333333333
254,0,9378,463.602,1.82377185516053,563.759117082534,34.3423970995948
255,0,486,85.167,1.18767213101392,808.977366255144,519.771604938272
257,0,8217,486.088,2.28826674262149,2426.21650237313,728.021297310454
258,0,5665,425.3,2.54086146782056,591.871668137688,1254.4266548985
259,0,3394,256.904,1.54746213340257,2043.65645256335,162.86593989393
260,0,4014,294.466,1.71902851895723,3365.60637767813,1101.03861484803
