Label,true_cell,extcenterX,extcenterY,centerX,centerY,perimeter,area,ch_perimeter,ch_area,pconvexity,aconvexity
335,True,1853.0381885710085,522.0970986246966,1853.0381885710085,522.0970986246966,1960.464212286928,54388,1081.336642166801,80360.00000000001,0.5515717325466483,0.6768043802887007
336,True,1735.6166959137627,1058.9151416395086,1735.616695913763,1058.9151416395086,526.842712474619,7978,423.05989626307314,11602.499999999998,0.8030098665993303,0.6876104287868995
337,True,1782.4878712871287,2536.767871287129,1782.4878712871289,2536.767871287129,1086.8153672641492,20200,725.8951355305866,34302.49999999999,0.6679102609285783,0.5888783616354495
338,True,1692.821618743344,2843.5,1692.821618743344,2823.014376996805,172.66904755831214,1878,169.75197124539915,1937.5,0.9831059685904164,0.9692903225806452
339,True,1812.5773687529559,354.8886173734825,1812.577368752956,354.8886173734826,1167.7270555095806,25372,768.2138073098417,40920.5,0.657871035603096,0.620031524541489
340,True,1769.97726588377,1193.2861587875138,1769.97726588377,1193.2861587875138,1042.1168824543142,19926,699.248998265583,30163.0,0.6709890320736049,0.6606106819613433
341,True,1826.9005448696907,1626.3199632377077,1826.9005448696907,1626.3199632377075,1571.6753236814714,45699,997.6745810661356,68644.50000000001,0.6347841478666191,0.6657343268579419
342,True,1869.080295150009,1344.1906945761061,1869.080295150009,1344.190694576106,1542.6631303726515,39031,920.4063596350494,60975.5,0.596634703658674,0.640109552197194
343,True,1719.9971264367814,983.4209770114942,1719.9971264367816,983.4209770114944,113.88225099390856,696,111.14397369500966,781.0,0.9759551881438892,0.8911651728553137
344,True,1751.0323212536728,948.6442703232126,1751.0323212536728,948.6442703232124,350.26197667087547,5105,303.3297244599098,6164.499999999997,0.8660081443694196,0.828128802011518
345,True,1793.9843628701342,1020.1812132638349,1793.9843628701342,1020.1812132638348,503.9137802864845,9017,399.9228544850351,10747.0,0.7936334947174324,0.8390248441425514
346,True,1899.885876333315,2276.6589961557206,1899.8858763333155,2276.6589961557206,2938.983114994796,73876,1431.2555620539515,130399.00000000004,0.4869900595044711,0.5665380869485194
347,True,1899.1973383782374,-0.5,1899.1973383782372,87.36072150825233,1394.337228564847,30658,865.1116474048962,48498.49999999999,0.6204464957844752,0.6321432621627474
348,True,1772.6717226435535,2625.1440953412784,1772.6717226435535,2625.1440953412784,118.42640687119284,923,119.02285128294167,955.0,1.005036413984911,0.9664921465968586
349,True,1874.6711364646612,1176.269817750778,1874.6711364646612,1176.269817750778,686.98484809835,13498,554.6173512839235,20185.000000000004,0.8073210825816111,0.6687143918751547
350,True,1840.7067375175457,730.2345097252858,1840.7067375175457,730.2345097252858,1003.2173875177026,19948,703.291610971579,29884.0,0.7010361061541797,0.6675143889706866
351,True,1947.5114629348982,240.80192177473964,1947.5114629348984,240.8019217747396,1398.4204896855322,31013,839.5122050934785,49186.49999999999,0.6003288791072152,0.6305185365903248
352,True,1976.664294869688,1097.1293423604036,1976.664294869688,1097.1293423604036,2457.0398974567884,60854,1309.1234087612772,111297.50000000004,0.532805108340452,0.5467687953458072
353,True,1923.4735684287716,2622.84197720152,1923.4735684287716,2622.84197720152,1397.4377336282355,30002,820.1982952626394,48073.0,0.5869301189779087,0.6240925259501175
